REF,ORGA/SI,Statut initial,Basique,Modéré,Avancé,Données : +,Données : ++,Données : +++,Données : ++++,Données : Hors UE,Dispo : +,Dispo : ++,Dispo : +++,Dispo : ++++,Ouv : +,Ouv : ++,Ouv : +++,Ouv : ++++,Accès physique : Salles techniques,Accès physique : Bureaux,Annuaire,Signature électronique,Application mobile,Echange et/ou réception d'emails,API,Portail d'information,Service en ligne,Autre Système d'information,Poste de travail ou téléphone,EXT : Admin tech,EXT : Dév,EXT : MCO/MCS,EXT : On-premise,EXT : PaaS / IaaS,EXT : SaaS
RECENSEMENT.1,"ORGA, SI",Présente,Indispensable,Indispensable,Indispensable,,,,,,,,,,,,,,,,,,,,,,,,,Projet,Projet,Projet,Projet,Projet,Projet
RECENSEMENT.2,SI,Présente,Recommandation,Indispensable,Indispensable,,,,,,,,,,,,,,,,,,,,,,,,,Mixte,Mixte,Mixte,Projet,Mixte,Presta
RECENSEMENT.3,SI,Présente,Indispensable,Indispensable,Indispensable,,,,,,,,,,,,,,,,,,,,,,,,,Projet,Projet,Projet,Projet,Projet,Projet
CONFORMITE.1,"ORGA, SI",Présente,,Indispensable,Indispensable,,,,,,,,,,,,,,,,,,,,,,,,,Projet,Projet,Projet,Projet,Projet,Projet
CONFORMITE.3,SI,Présente,,Recommandation,Recommandation,,,,,,,,,,,,,,,,,,,,,,,,,Projet,Projet,Projet,Projet,Projet,Projet
PSSI.5,"ORGA, SI",Présente,,Indispensable,Indispensable,,,,,,,,,,,,,,,,,,,,,,,,,Mixte,Mixte,Mixte,Projet,Mixte,Mixte
CONTRAT.1,"ORGA, SI",Présente,Indispensable,Indispensable,Indispensable,,,,,,,,,,,,,,,,,,,,,,,,,Projet,Projet,Projet,Projet,Projet,Projet
CONTRAT.2,"ORGA, SI",Présente,,Indispensable,Indispensable,,,,,,,,,,,,,,,,,,,,,,,,,Projet,Projet,Projet,Projet,Projet,Projet
DEV.1,SI,Présente,Recommandation,Indispensable,Indispensable,,,,,,,,,,,,,,,,,,,,,,,,,Projet,Presta,Presta,Projet,Mixte,Presta
ECOSYSTEME.1,"ORGA, SI",Présente,Recommandation,Indispensable,Indispensable,,,,,,,,,,,,,,,,,,,,,,,,,Projet,Projet,Projet,Projet,Projet,Projet
ECOSYSTEME.2,"ORGA, SI",Présente,,Indispensable,Indispensable,,,,,,,,,,,,,,,,,,,,,,,,,Mixte,Mixte,Mixte,Projet,Mixte,Presta
ECOSYSTEME.3,SI,Absente,Recommandation,Recommandation,Recommandation,,,,,Ajoutée,,,,,,,,,,,,,,,,,,,,Projet,Projet,Projet,Projet,Presta,Presta
ECOSYSTEME.4,SI,Présente,,Recommandation,Recommandation,,,,,,,,,,,,,,,,,,,,,,,,,Projet,Projet,Projet,Projet,Projet,Presta
ECOSYSTEME.5,SI,Présente,Recommandation,Recommandation,Recommandation,,,,,,,,,,,,,,,,,,,,,,,,,Projet,Projet,Projet,Projet,Projet,Presta
ECOSYSTEME.6,SI,Présente,Recommandation,Recommandation,Recommandation,,,,,,,,,,Retirée,Retirée,Retirée,,,,,,,,,,,,,Projet,Projet,Projet,Projet,Projet,Presta
RH.2,"ORGA, SI",Présente,Indispensable,Indispensable,Indispensable,,,,,,,,,,,,,,,,,,,,,,,,,Projet,Projet,Projet,Projet,Projet,Projet
RH.4,"ORGA, SI",Présente,,Indispensable,Indispensable,,,,,,,,,,,,,,,,,,,,,,,,,Mixte,Mixte,Mixte,Projet,Mixte,Mixte
CARTO.2,SI,Présente,,,Indispensable,,,,,,,,,,,,,,,,,,,,,,,,,Mixte,Mixte,Mixte,Projet,Mixte,Presta
DONNEES.1,SI,Présente,,Indispensable,Indispensable,Recommandation,Recommandation,Indispensable,Indispensable,,,,,,,,,,,,,,,,,,,,,Projet,Mixte,Mixte,Projet,Projet,Presta
DONNEES.2,SI,Présente,Recommandation,Recommandation,Recommandation,,,,,,,,,,,,,,,,,,,,,,,,,Projet,Mixte,Mixte,Projet,Projet,Presta
MCO_MCS.1,"ORGA, SI",Présente,,,Indispensable,,,,,,,,,,,,,,,,,,,,,,,,Projet,Mixte,Mixte,Mixte,Projet,Mixte,Presta
MCO_MCS.10,SI,Absente,Indispensable,Indispensable,Indispensable,,,,,,,,,,,,,,,,,,Ajoutée,,,,,,,Projet,Projet,Projet,Projet,Projet,Projet
MCO_MCS.11,SI,Présente,,Recommandation,Recommandation,,,,,,,,,,,,,,,,,,,,,,,,Projet,Projet,Projet,Projet,Projet,Presta,Presta
MCO_MCS.12,SI,Présente,,Recommandation,Recommandation,,,,,,,,,,,,,,,,,,,,,,,,Projet,Projet,Projet,Projet,Projet,Presta,Presta
